,intendedcollegemajor,total,readingwriting,math,percent,testtakers
0,"Agriculture, AgricultureOperations, and Related Sciences",977,496,481,0.01,24913
1,Architecture and Related Services,1047,520,527,0.02,28988
2,"Area, Ethnic, Cultural, and Gender Studies",1040,536,504,0.0,2629
3,Biological and Biomedical Sciences,1139,572,566,0.08,155834
4,"Business, Management, Marketing, and Related Support Services",1072,534,537,0.12,221523
5,"Communication, Journalism, and Related Programs",1069,550,519,0.02,36332
6,Computer and Information Sciences and Support Services,1156,571,585,0.04,79736
7,"Construction Trades, General",919,459,460,0.0,2500
8,Education,1022,519,503,0.04,71882
9,Engineering,1139,559,581,0.11,194127
10,Engineering Technologies/Technicians,1041,512,528,0.02,33595
11,English Language and Literature/Letters,1119,585,533,0.01,16233
12,Family and Consumer Sciences/Human Sciences,953,484,469,0.0,6469
13,"Foreign Languages and Literatures, General",1102,566,536,0.01,9936
14,Health Professions and related Clinical Sciences,1048,529,518,0.18,331026
15,"History, General",1090,563,527,0.01,12611
16,"Legal Studies, General",1104,564,540,0.02,35788
17,"Liberal Arts and Sciences, General Studies and Humanities",1140,584,556,0.0,8611
18,Library Science/Librarianship,1105,577,527,0.0,283
19,Mathematics and Statistics,1242,597,646,0.01,16508
20,Mechanic and Repair Technologies/Technicians,916,458,458,0.0,6592
21,Military Technologies,984,498,486,0.0,7448
22,Multi/Interdisciplinary Studies,1155,581,574,0.0,2979
23,Natural resources and Conservation,1104,562,543,0.01,10147
24,"Parks, Recreation and Leisure Studies",960,482,478,0.01,13039
25,"Personal and Culinary Services, General",929,474,456,0.0,6668
26,Philosophy and Religious Studies,1120,572,548,0.0,3381
27,Physical Sciences,1203,597,606,0.01,26318
28,Precision Production,932,466,466,0.0,319
29,"Psychology, General",1064,546,518,0.04,75626
30,Public Administration and Social Service Professions,1001,513,488,0.0,7852
31,Security and Protective Services,975,495,479,0.04,68177
32,Social Sciences,1164,594,570,0.02,33356
33,Theology and Religious Vocations,1096,561,535,0.0,1991
34,Transportation and Materials Moving,1019,511,508,0.0,1105
35,"Visual and Performing Arts, General",1045,536,510,0.07,130642
36,Other,963,488,476,0.01,26888
37,Undecided,1069,538,532,0.07,126939
